Country,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Congo, Rep.",20.33300018,20.44799995,20.48399925,18.91799927,20.03100014,20.02799988,20.4470005,20.59000015,20.18799973,20.15999985,20.03199959,20.52199936,20.34600067,20.21199989,19.79599953,18.23600006,16.44199944,16.11100006,16.10000038,14.14900017,11.96000004,10,10.02900028,9.576000214,9.758999825,9.708999634,10.15600014,10.38199997
Colombia,10.11999989,9.43999958,7.800000191,8.25,8.720000267,11.81000042,12.14000034,15,20.05999947,20.52000046,15.03999996,15.63300037,14.18900013,13.71700001,11.86999989,11.50699997,11.20400047,11.27299976,12.06599998,10.98400021,10.11100006,9.739999771,9.052000046,8.57199955,8.298999786,8.692000389,8.871999741,9.093000412
Comoros,4.146999836,4.15500021,4.367000103,4.272999763,4.468999863,4.620999813,4.610000134,4.546000004,4.722000122,4.665999889,4.644000053,4.705999851,4.671999931,4.571000099,4.482999802,4.197999954,3.924000025,3.786000013,4.197000027,4.230999947,4.249000072,4.198999882,4.150000095,4.074999809,3.99000001,3.851999998,3.696000099,3.710000038
Cabo Verde,10.32299995,10.46399975,10.83199978,10.84200001,11.10099983,11.1420002,11.19400024,11.45400047,11.65499973,11.72799969,11.69699955,11.71500015,11.81299973,11.35900021,11.23400021,10.96500015,10.10599995,9.961000443,10.64000034,10.67000008,10.97599983,11.60200024,12.11200047,11.99300003,12.11400032,12.31200027,12.24100018,12.27600002
Costa Rica,5.373000145,3.927000046,3.953999996,4.045000076,5.176000118,6.162000179,5.681000233,5.327000141,5.894999981,5.081999779,5.914999962,6.334000111,6.558000088,6.390999794,6.571000099,5.739999771,4.489999771,4.781000137,7.712999821,7.171000004,10.13899994,9.784000397,8.767999649,9.059000015,8.998999596,8.597999573,8.142000198,8.128000259
Caribbean small states,13.02650951,13.1140331,13.52099813,12.9353032,12.68944038,12.48521476,12.51914866,11.92302312,11.99563971,11.6239106,11.26626631,11.12766054,10.18451273,9.812317155,9.549939621,8.744862132,8.246547546,8.493918492,9.863306733,10.45656216,10.67272767,11.35282438,11.7887357,11.01905634,10.78648598,10.61229463,9.930249163,8.961897567
Cuba,7.598999977,7.803999901,8.256999969,8.31400013,8.270000458,7.610000134,7.099999905,6.230000019,6.260000229,5.449999809,4.079999924,3.309999943,2.329999924,1.853999972,1.950000048,1.912999988,1.787999988,1.582999945,1.669999957,2.5,3.180000067,3.460000038,3.289999962,2.700000048,2.400000095,2.361999989,2.278000116,2.263999939
Curacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,2.036000013,2.089999914,2.58100009,3.035000086,3.512000084,3.997999907,4.514999866,5.046999931,5.699999809,4.967000008,3.983999968,3.299000025,4.135000229,4.333000183,5.303999901,4.543000221,3.921999931,3.654999971,5.363999844,6.263000011,7.855999947,11.79500008,15.87100029,16.08799934,14.90799999,12.94999981,11.05200005,8.109000206
